	State	Value
0	((0, 0), 'sink')	0.0
1	((0, 0), '1')	1.0
2	((0, 0), '0')	1.0000000000000002
3	((0, 1), 'sink')	0.0
4	((0, 1), '1')	1.0
5	((0, 1), '0')	0.9999999935471903
6	((0, 2), 'sink')	0.0
7	((0, 2), '1')	1.0
8	((0, 2), '0')	0.999732178381187
9	((0, 3), 'sink')	0.0
10	((0, 3), '1')	1.0
11	((0, 3), '0')	0.0
12	((0, 4), 'sink')	0.0
13	((0, 4), '1')	1.0
14	((0, 4), '0')	0.0
15	((0, 5), 'sink')	0.0
16	((0, 5), '1')	1.0
17	((0, 5), '0')	0.9999733605368475
18	((0, 6), 'sink')	0.0
19	((0, 6), '1')	1.0
20	((0, 6), '0')	1.0000000000000033
21	((0, 7), 'sink')	0.0
22	((0, 7), '1')	1.0
23	((0, 7), '0')	1.0000000000000038
24	((1, 0), 'sink')	0.0
25	((1, 0), '1')	1.0
26	((1, 0), '0')	0.9999999941924712
27	((1, 1), 'sink')	0.0
28	((1, 1), '1')	1.0
29	((1, 1), '0')	0.9999999419247094
30	((1, 2), 'sink')	0.0
31	((1, 2), '1')	1.0
32	((1, 2), '0')	0.9975896570531599
33	((1, 3), 'sink')	0.0
34	((1, 3), '1')	1.0
35	((1, 3), '0')	0.0
36	((1, 4), 'sink')	0.0
37	((1, 4), '1')	1.0
38	((1, 4), '0')	0.0
39	((1, 5), 'sink')	0.0
40	((1, 5), '1')	1.0
41	((1, 5), '0')	0.9997602448316003
42	((1, 6), 'sink')	0.0
43	((1, 6), '1')	1.0
44	((1, 6), '0')	0.999976024483163
45	((1, 7), 'sink')	0.0
46	((1, 7), '1')	1.0
47	((1, 7), '0')	1.0000000000000033
48	((2, 0), 'sink')	0.0
49	((2, 0), '1')	1.0
50	((2, 0), '0')	0.99999991098707
51	((2, 1), 'sink')	0.0
52	((2, 1), '1')	1.0
53	((2, 1), '0')	0.9999994256999034
54	((2, 2), 'sink')	0.0
55	((2, 2), '1')	1.0
56	((2, 2), '0')	0.9761648567527375
57	((2, 3), 'sink')	0.0
58	((2, 3), '1')	1.0
59	((2, 3), '0')	0.78093188540219
60	((2, 4), 'sink')	0.0
61	((2, 4), '1')	1.0
62	((2, 4), '0')	0.9588826586232267
